"addr","balance"
0x669808ab9335f5fb23ffb8502957d247837d5655,61
0x6a216e6c1ab7cbb39fa5acf0c13ccf53ef7f7a7b,119
0x7a0794408d0565eb8a38be383d28b85a947e6481,112
0x7d265fe328fd1fe55a35b27d2f596ccfac6c8fe2,55
0x840773472da4ebb3fde778383b7fad4017b686a5,37
0x966b0ed65cc4499f8062703306a6bb816d35101b,900
0xb04061d66d608bca0e7a523b96d4c389ead2dcc4,39
0xb31aeb3cb0851b0cc79f182fe4c30231c6dcc175,40
0xbdb173d3cfd0b599cf04bec4187062149d921427,44
0xce344e5154cc92b0eb2e196e0945c078a8267d3f,38
0xcf11b78b41ec9f6c4f609eea07c10bec0debcff4,141
0xda54f814dd321fcc80ace5bcf18142713b3ba70f,83
0xf41b11567744b4343b5f386467dec3891bd741bd,55
0x003acd34223285abe9db1de7e181afbca2b24227,40
0x292910f70d76bedf88599676929a8735b8daf3be,81
0x29f4d33abb33a1bdbac54ba92dc8ff8c5ab7678d,48
0x2b3c494915f52ddd1c1635b57121ee9b1b719866,41
0x30c6ecd577cb9dfec82b6a0e9da03be2b785f2a1,53
0x3426bacae9549f7ec00bace08255980cca012871,36
0x389ed991b496b66a04a0ceaba813c04fce16f47a,51
0x481d2aca6f2657f90d164f10f14bb46141e69830,42
0x4d3edeb81e35e3e390e8199e6bbb392da59c3665,122
0x705b251776af3646b2d1b95759f190bd203cac7f,83
0x83e227b2cede389c675aad947fa8cc13300d3c26,109
0x8d03df256c23209d5420e9986a4c10b43a342804,65
0xb08d2a50ee71ffe0266abae513da98312679d103,49
0xc8056d5ab37a0ad51d8701a23444d70ddb82344c,47
0xd5dd8b2ffc1646faadff7c85ba3fb418da16871b,48
0x049bf8ad98dea383ab604e6663448401c15d0a0a,133
0x15b6ee7cf099b7fa7534ca3ad281ea2a50807492,47
0x1dae85e7afca1bb618187a51b4d940e4628cc039,39
0x4a26bc88e3db1ec16bed8d8c7a33ce0f764bf173,120
0x5957c64bf778cf7d873848e696ceef9afaeceb42,56
0x6a94f9c84d4aff7db1810597a5be3ed5e0fd5d58,120
0x70a43337ca43f3d62b5e27a5952a959fa39b2fa3,49
0x869c17409eb8dd80ab0326264d51afe617583606,225
0xa8d0fbe8ba407bbdab816d8fce52619171f61a84,44
0xaafd8b0b99b1f409a549a611c7c36e9d7bfd2e79,57
0xbe68ee0978baf16f32d5d223785b1d020be6d970,34961
0xc97d6d9952532a9e8f6f09bbfd9984d085fa5ad2,86
0xd94ed723ddf905c35a3013f9820f0a075484084c,40
0xde76961957700c67c21f6ae332a8023b5fcd9085,135
0xe0e5b92b8127c124c1c92d8ff2edee9693038e73,130
0xee4963a9fde089968bcd9d8a5e3076e872a3421e,784
0xefc5fb71ec28b411d236dee5bce243696c7e1623,146
0x244eafc1aff48d7ad68a196c41e48c878f9ad695,113
0x39be557f0bb7f0c95702ac4a07987ec90a4c53e6,40
0x3f42a7050bc10c89fec99c34b90667b49902a8f2,38
0x4035adc9c984432181febe1db0245761e90ba1ed,44
0x57374cffb9916ff99fa3d932e02fc4023b9c13b6,41
0x8764d69d5b04e11cb36bfdd2b1ccaf0de906dab6,1077
0x945c3f44e250a1a30e737f2bb3254951c0a42dcc,41
0x9c2cc396889578a66648639b5a7bf838e76dac76,47
0x9ec213d65fea207cc5c3940197a186ab7f08b946,1
0xa39f2b0046e3da87fdf8f35568bbb27eb4dfee05,146
0xd1145b74c1bb995ed8eec1a2ef4229e48d4d902d,76
0xd8e054a423555ad9cdb4e9f617955a734da42cef,145
0xeb00e669d8148a8b0b23059796da8bb3dea40a33,36
